Arrest_Quarter,Perceived_Race,Sex,Age_group__at_arrest_,ArrestLocDiv,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,cfs_list
4,White,M,2,XX,Robbery/Theft,0,0,0,0,0,1,[]
0,Black,M,3,33,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,"[[0, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 3, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 3, '55', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 3, '52', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 3, '52', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 0, 1]]"
3,Black,M,4,XX,Other Statute,0,0,0,0,0,0,[]
4,Black,M,1,31,Weapons,0,0,0,0,0,0,"[[4, 'Black', 'M', 1, '14', 'Weapons', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '14', 'Weapons', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 1, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 0, 1], [4, 'Black', 'M', 1, '14', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [4, 'Black', 'M', 1, '53', 'Weapons', 0, 1, 0, 0, 0, 0, 1]]"
3,Black,M,4,42,Police Category - Administrative,0,0,0,0,0,1,"[[3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 1, 1, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 1, 0, 1, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 0, 1, 0, 1, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 1, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 4, '53', 'Police Category - Administrative', 1, 0, 0, 0, 0, 0, 1]]"
1,White,F,2,41,Robbery/Theft,0,0,0,0,0,0,"[[1, 'White', 'F', 2, '53', 'Robbery/Theft', 1, 1, 1, 0, 0, 0, 1], [1, 'White', 'F', 2, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'F', 2, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'F', 2, '52', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'F', 2, '51', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'F', 2, '53', 'Robbery/Theft', 0, 1, 0, 0, 0, 1, 1], [1, 'White', 'F', 2, '14', 'Robbery/Theft', 0, 0, 1, 1, 0, 1, 1], [1, 'White', 'F', 2, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'F', 2, '53', 'Robbery/Theft', 1, 0, 1, 0, 0, 0, 1], [1, 'White', 'F', 2, '52', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1]]"
1,Black,M,2,14,Police Category - Administrative,0,0,0,0,0,1,"[[1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 1, 0, 1, 0, 1, 1, 1], [1, 'Black', 'M', 2, '51', 'Police Category - Administrative', 0, 0, 0, 1, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 0, 0, 0, 1, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 0, 1, 0, 0, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 1, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 2, '51', 'Police Category - Administrative', 1, 0, 1, 0, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 0, 1, 0, 0, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 1, 1], [1, 'Black', 'M', 2, '53', 'Police Category - Administrative', 0, 0, 0, 1, 0, 0, 1]]"
3,Black,M,3,51,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,"[[3, 'Black', 'M', 3, '43', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '43', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 0, 1], [3, 'Black', 'M', 3, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '14', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 1, 0, 1, 1], [3, 'Black', 'M', 3, '14', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 3, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 1, 1], [3, 'Black', 'M', 3, '14', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '43', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 1, 1, 0, 1, 1], [3, 'Black', 'M', 3, '51', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 1, 0, 0, 1, 1]]"
3,White,M,3,XX,Police Category - Administrative,0,0,0,0,0,0,"[[3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 1, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 1, 0, 1, 0, 1, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 1, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 1, 1, 0, 1, 0, 1], [3, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 0, 0, 0, 1, 1]]"
4,White,M,4,XX,Robbery & Theft,0,0,0,0,0,1,"[[4, 'White', 'M', 4, '53', 'Robbery & Theft', 1, 1, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '14', 'Robbery & Theft', 1, 1, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '52', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '52', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '43', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '14', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '53', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1], [4, 'White', 'M', 4, '14', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '14', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 4, '14', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1]]"
0,Indigenous,F,2,XX,Robbery/Theft,0,0,0,0,0,0,"[[0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [0, 'Indigenous', 'F', 2, '52', 'Robbery/Theft', 0, 0, 0, 1, 0, 0, 1], [0, 'Indigenous', 'F', 2, '23', 'Robbery/Theft', 0, 1, 0, 0, 0, 0, 1], [0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 0, 0, 0, 0, 1, 0, 1], [0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 1, 0, 1, 0, 1, 0, 1], [0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 0, 1, 1, 0, 0, 0, 1], [0, 'Indigenous', 'F', 2, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [0, 'Indigenous', 'F', 2, '52', 'Robbery/Theft', 0, 0, 0, 1, 0, 1, 1]]"
3,Black,M,2,14,Impaired,0,0,1,0,0,0,"[[3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 1, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 1, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 1, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 0, 0, 0, 0, 1], [3, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1]]"
4,White,M,2,XX,Robbery & Theft,0,0,0,0,0,1,"[[4, 'White', 'M', 2, '43', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '43', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '51', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1], [4, 'White', 'M', 2, '51', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '14', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '43', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '53', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '43', 'Robbery & Theft', 0, 0, 0, 1, 0, 1, 1], [4, 'White', 'M', 2, '51', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [4, 'White', 'M', 2, '52', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1]]"
1,South Asian,M,3,33,Assault,0,0,0,0,0,1,"[[1, 'South Asian', 'M', 3, '53', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '31', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '51', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '53', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '53', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '52', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '43', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '31', 'Assault', 0, 0, 0, 1, 0, 1, 1], [1, 'South Asian', 'M', 3, '42', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'South Asian', 'M', 3, '51', 'Assault', 1, 0, 0, 1, 0, 1, 1]]"
0,East/Southeast Asian,F,2,43,Harassment/Threatening,0,0,0,0,0,0,"[[0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 0, 1, 0, 0, 1, 1], [0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 1, 0, 0, 0, 0, 1], [0, 'East/Southeast Asian', 'F', 2, '51', 'Harassment/Threatening', 0, 0, 1, 0, 0, 0, 1], [0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 0, 1, 1, 1, 1, 1], [0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 1, 0, 1, 0, 0, 1], [0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 0, 0, 0, 0, 1, 1], [0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 0, 1, 0, 0, 1, 1], [0, 'East/Southeast Asian', 'F', 2, '53', 'Harassment/Threatening', 0, 1, 1, 0, 1, 0, 1], [0, 'East/Southeast Asian', 'F', 2, '51', 'Harassment/Threatening', 1, 1, 0, 0, 0, 0, 1]]"
4,White,M,3,51,Police Category - Administrative,0,0,1,0,0,1,"[[4, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 1, 1], [4, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 0, 1], [4, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 1, 1], [4, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 1, 1], [4, 'White', 'M', 3, '53', 'Police Category - Administrative', 1, 0, 1, 0, 0, 1, 1], [4, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 1, 0, 1, 0, 1], [4, 'White', 'M', 3, '53', 'Police Category - Administrative', 0, 0, 1, 0, 0, 1, 1]]"
1,Black,M,4,51,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,"[[1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 0, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 1, 0, 0, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 1, 0, 0, 1], [1, 'Black', 'M', 4, '53', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 0, 1], [1, 'Black', 'M', 4, '52', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 1, 0, 0, 0, 0, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 0, 1], [1, 'Black', 'M', 4, '51', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1]]"
0,Unknown or Legacy,M,1,31,Assault,0,0,1,0,0,0,"[[0, 'Unknown or Legacy', 'M', 1, '22', 'Assault', 1, 0, 1, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '52', 'Assault', 0, 0, 1, 0, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '23', 'Assault', 0, 1, 1, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '22', 'Assault', 1, 0, 1, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '53', 'Assault', 0, 0, 1, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '22', 'Assault', 1, 0, 1, 1, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '52', 'Assault', 1, 0, 1, 0, 0, 1, 1], [0, 'Unknown or Legacy', 'M', 1, '22', 'Assault', 0, 0, 1, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '53', 'Assault', 0, 0, 0, 0, 0, 0, 1], [0, 'Unknown or Legacy', 'M', 1, '22', 'Assault', 0, 0, 1, 0, 0, 0, 1]]"
3,White,M,6,XX,Robbery & Theft,0,0,0,0,0,1,"[[3, 'White', 'M', 6, '52', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '54', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '12', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '42', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '52', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '55', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '51', 'Robbery & Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '55', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '14', 'Robbery & Theft', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 6, '54', 'Robbery & Theft', 0, 1, 0, 0, 0, 1, 1]]"
1,White,M,5,XX,Warrant,0,0,0,0,0,0,"[[1, 'White', 'M', 5, '12', 'Warrant', 0, 1, 0, 0, 0, 0, 1], [1, 'White', 'M', 5, '54', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 5, '31', 'Warrant', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'M', 5, '42', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 5, '43', 'Warrant', 0, 0, 0, 1, 0, 0, 1], [1, 'White', 'M', 5, '41', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [1, 'White', 'M', 5, '14', 'Warrant', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'M', 5, '42', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 5, '54', 'Warrant', 1, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 5, '52', 'Warrant', 0, 0, 1, 0, 0, 0, 1]]"
1,White,M,3,XX,Robbery/Theft,0,0,0,0,0,0,"[[1, 'White', 'M', 3, '51', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'M', 3, '43', 'Robbery/Theft', 0, 0, 0, 1, 0, 0, 1], [1, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 3, 'XX', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [1, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 3, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 3, '14', 'Robbery/Theft', 0, 1, 0, 0, 0, 0, 1], [1, 'White', 'M', 3, 'XX', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [1, 'White', 'M', 3, '14', 'Robbery/Theft', 0, 0, 0, 0, 0, 1, 1], [1, 'White', 'M', 3, '14', 'Robbery/Theft', 0, 1, 0, 0, 0, 0, 1]]"
1,Black,M,1,31,Weapons,0,0,0,0,0,1,"[[1, 'Black', 'M', 1, '14', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '14', 'Weapons', 0, 0, 0, 1, 0, 1, 1], [1, 'Black', 'M', 1, '53', 'Weapons', 0, 1, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '14', 'Weapons', 0, 0, 1, 0, 0, 1, 1], [1, 'Black', 'M', 1, '51', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '53', 'Weapons', 1, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '43', 'Weapons', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'M', 1, '53', 'Weapons', 0, 0, 1, 0, 0, 1, 1]]"
3,White,M,5,53,Assault,0,0,0,0,0,0,"[[3, 'White', 'M', 5, '53', 'Assault', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 5, '53', 'Assault', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 1, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 5, '53', 'Assault', 0, 0, 1, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 1, 1, 0, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 1, 0, 1, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 1, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 1, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 5, '53', 'Assault', 0, 0, 0, 0, 0, 0, 1]]"
3,Latino,M,2,22,Harassment & Threatening,0,0,0,0,0,0,"[[3, 'Latino', 'M', 2, '54', 'Harassment & Threatening', 0, 0, 0, 0, 0, 1, 1], [3, 'Latino', 'M', 2, '22', 'Harassment & Threatening', 0, 0, 0, 1, 0, 1, 1], [3, 'Latino', 'M', 2, '32', 'Harassment & Threatening', 0, 0, 0, 0, 0, 0, 1], [3, 'Latino', 'M', 2, '12', 'Harassment & Threatening', 0, 1, 0, 0, 0, 0, 1], [3, 'Latino', 'M', 2, '51', 'Harassment & Threatening', 0, 0, 0, 0, 0, 0, 1], [3, 'Latino', 'M', 2, '51', 'Harassment & Threatening', 0, 0, 0, 0, 0, 1, 1], [3, 'Latino', 'M', 2, '11', 'Harassment & Threatening', 0, 0, 0, 0, 0, 1, 1], [3, 'Latino', 'M', 2, '52', 'Harassment & Threatening', 0, 0, 0, 1, 0, 0, 1], [3, 'Latino', 'M', 2, '53', 'Harassment & Threatening', 0, 0, 0, 0, 0, 1, 1], [3, 'Latino', 'M', 2, '22', 'Harassment & Threatening', 0, 0, 0, 1, 0, 0, 1]]"
0,Black,M,0,33,Sexual Related Crime,0,0,0,0,0,1,"[[0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 1, 0, 1, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 0, 1, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 1, 0, 1, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 1, 1, 0, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 0, '14', 'Sexual Related Crime', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 0, '53', 'Sexual Related Crime', 0, 0, 0, 0, 0, 1, 1]]"
1,Black,F,1,XX,Other Offence,0,0,0,0,0,0,"[[1, 'Black', 'F', 1, '53', 'Other Offence', 0, 1, 0, 0, 0, 0, 1], [1, 'Black', 'F', 1, 'XX', 'Other Offence', 0, 0, 0, 1, 0, 0, 1], [1, 'Black', 'F', 1, '14', 'Other Offence', 0, 1, 0, 0, 0, 0, 1], [1, 'Black', 'F', 1, '53', 'Other Offence', 0, 0, 0, 1, 0, 0, 1], [1, 'Black', 'F', 1, '23', 'Other Offence', 0, 0, 0, 0, 0, 0, 1], [1, 'Black', 'F', 1, '41', 'Other Offence', 0, 1, 0, 0, 0, 0, 1], [1, 'Black', 'F', 1, 'XX', 'Other Offence', 0, 1, 0, 0, 0, 0, 1], [1, 'Black', 'F', 1, 'XX', 'Other Offence', 0, 1, 0, 1, 0, 0, 1], [1, 'Black', 'F', 1, '43', 'Other Offence', 0, 0, 0, 0, 0, 1, 1], [1, 'Black', 'F', 1, '32', 'Other Offence', 1, 0, 0, 0, 0, 0, 1]]"
4,White,F,3,XX,Police Category - Administrative,0,0,0,0,0,1,[]
0,White,M,3,51,Assault,0,0,0,0,0,0,"[[0, 'White', 'M', 3, '51', 'Assault', 0, 0, 0, 0, 0, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 0, 0, 1, 0, 0, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 0, 0, 0, 0, 0, 1, 1], [0, 'White', 'M', 3, '51', 'Assault', 0, 0, 0, 0, 0, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 1, 0, 0, 0, 0, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 0, 0, 0, 0, 1, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 0, 0, 1, 0, 1, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 1, 0, 0, 0, 0, 0, 1], [0, 'White', 'M', 3, '51', 'Assault', 1, 0, 0, 0, 0, 1, 1], [0, 'White', 'M', 3, '51', 'Assault', 0, 0, 1, 0, 0, 0, 1]]"
